"Common name","Binomial","Notes"
"Pale-headed Rosella","Platycercus adscitus",""
"Northern Rosella","Platycercus venustus",""
"Western Rosella","Platycercus icterotis",""
"Australian Ringneck","Barnardius zonarius",""
"Red-capped Parrot","Purpureicephalus spurius",""
"Bluebonnet","Northiella haematogaster",""
"Swift Parrot","Lathamus discolor",""
"Red-rumped Parrot","Psephotus haematonotus",""
"Mulga Parrot","Psephotus varius",""
"Golden-shouldered Parrot","Psephotus chrysopterygius",""
"Hooded Parrot","Psephotus dissimilis",""
"Paradise Parrot","Psephotus pulcherrimus","extinct"
"Tasman Parakeet","Cyanoramphus cookii",""
"Norfolk Island Green Parrot","Norfolk Island","locally extinct"
"Lord Howe Red-crowned Parakeet","Lord Howe Island",""
"Red-fronted Parakeet","Cyanoramphus novaezelandiae","locally extinct, Macquarie Island"
"Budgerigar","Melopsittacus undulatus",""
"Bourke's Parrot","Neopsephotus bourkii",""
"Blue-winged Parrot","Neophema chrysostoma",""
"Elegant Parrot","Neophema elegans",""
"Rock Parrot","Neophema petrophila",""
"Orange-bellied Parrot","Neophema chrysogaster",""
"Turquoise Parrot","Neophema pulchella",""
"Scarlet-chested Parrot","Neophema splendida",""
"Eastern Ground Parrot","Pezoporus wallicus",""
"Western Ground Parrot","Pezoporus flaviventris",""
"Night Parrot","Pezoporus occidentalis",""
"Lesser Coucal","Centropus bengalensis","vagrant, Ashmore Reef"
"Pheasant Coucal","Centropus phasianinus",""
"Asian Koel","Eudynamys scolopaceus","vagrant, Christmas Island"
"Eastern Koel","Eudynamys orientalis",""
"Long-tailed Cuckoo","Eudynamys taitensis","Lord Howe Island, Norfolk Island"
"Channel-billed Cuckoo","Scythrops novaehollandiae",""
"Horsfield's Bronze Cuckoo","Chalcites basalis",""
"Black-eared Cuckoo","Chalcites osculans",""
"Shining Bronze Cuckoo","Chalcites lucidus",""
"Little Bronze Cuckoo","Chalcites minutillus",""
"Pallid Cuckoo","Cacomantis pallidus",""
"Chestnut-breasted Cuckoo","Cacomantis castaneiventris",""
"Fan-tailed Cuckoo","Cacomantis flabelliformis",""
"Brush Cuckoo","Cacomantis variolosus",""
"Oriental Cuckoo","Cuculus optatus",""
"Large Hawk-Cuckoo","Hierococcyx sparverioides","vagrant, Christmas Island"
"Powerful Owl","Ninox strenua",""
"Rufous Owl","Ninox rufa",""
"Barking Owl","Ninox connivens",""
"Southern Boobook","Ninox novaeseelandiae",""
"Brown Hawk-Owl","Ninox scutulata","vagrant, Ashmore Reef"
"Christmas Island Hawk-Owl","Ninox natalis","Christmas Island"
"Buffy Fish-Owl","Bubo ketupu","vagrant, Cocos (Keeling) Islands"
"Sooty Owl","Tyto tenebricosa",""
"Masked Owl","Tyto novaehollandiae",""
"Eastern Barn Owl","Tyto javanica",""
"Eastern Grass Owl","Tyto longimembris",""
"Common Kingfisher","Alcedo atthis","vagrant, Christmas Island"
"Azure Kingfisher","Ceyx azureus",""
"Little Kingfisher","Ceyx pusilla",""
"Buff-breasted Paradise-Kingfisher","Tanysiptera sylvia",""
"Little Paradise-kingfisher","Tanysiptera hydrocharis","vagrant"
"Common Paradise-kingfisher","Tanysiptera galatea","vagrant"
"Laughing Kookaburra","Dacelo novaeguineae",""
"Blue-winged Kookaburra","Dacelo leachii",""
"Yellow-billed Kingfisher","Syma torotoro",""
"Forest Kingfisher","Todiramphus macleayii",""
"Red-backed Kingfisher","Todiramphus pyrrhopygia",""
"Sacred Kingfisher","Todiramphus sanctus",""
"Collared Kingfisher","Todiramphus chloris",""
"Black-capped Kingfisher","Halcyon pileata","vagrant"
"Rainbow Bee-eater","Merops ornatus",""
"Dollarbird","Eurystomus orientalis",""
"Red-bellied Pitta","Pitta erythrogaster",""
"Blue-winged Pitta","Pitta moluccensis","vagrant"
"Noisy Pitta","Pitta versicolor",""
"Rainbow Pitta","Pitta iris",""
"Fairy Pitta","Pitta nympha","vagrant"
"Albert's Lyrebird","Menura alberti",""
"Superb Lyrebird","Menura novaehollandiae",""
"Rufous Scrub-bird","Atrichornis rufescens",""
"Noisy Scrub-bird","Atrichornis clamosus",""
"White-throated Treecreeper","Cormobates leucophaea",""
"White-browed Treecreeper","Climacteris affinis",""
"Red-browed Treecreeper","Climacteris erythrops",""
"Brown Treecreeper","Climacteris picumnus",""
"Black-tailed Treecreeper","Climacteris melanura",""
"Rufous Treecreeper","Climacteris rufa",""
"Spotted Catbird","Ailuroedus melanotis",""
"Green Catbird","Ailuroedus crassirostris",""
"Tooth-billed Bowerbird","Scenopoeetes dentirostris",""
"Golden Bowerbird","Amblyornis newtonianus",""
"Regent Bowerbird","Sericulus chrysocephalus",""
"Satin Bowerbird","Ptilonorhynchus violaceus",""
"Spotted Bowerbird","Ptilonorhynchus maculatus",""
"Western Bowerbird","Ptilonorhynchus guttatus",""
"Great Bowerbird","Ptilonorhynchus nuchalis",""
"Fawn-breasted Bowerbird","Ptilonorhynchus cerviniventris",""
"Superb Fairy-wren","Malurus cyaneus",""
"Splendid Fairy-wren","Malurus splendens",""
"Purple-crowned Fairy-wren","Malurus coronatus",""
"Red-backed Fairy-wren","Malurus melanocephalus",""
"White-winged Fairy-wren","Malurus leucopterus",""
"Variegated Fairy-wren","Malurus lamberti",""
"Lovely Fairy-wren","Malurus amabilis",""
"Blue-breasted Fairy-wren","Malurus pulcherrimus",""
"Red-winged Fairy-wren","Malurus elegans",""
"Southern Emu-wren","Stipiturus malachurus",""
"Mallee Emu-wren","Stipiturus mallee",""
"Rufous-crowned Emu-wren","Stipiturus ruficeps",""
"Grey Grasswren","Amytornis barbatus",""
"Striated Grasswren","Amytornis striatus",""
"Short-tailed Grasswren","Amytornis merrotsyi",""
"White-throated Grasswren","Amytornis woodwardi",""
"Carpentarian Grasswren","Amytornis dorotheae",""
"Thick-billed Grasswren","Amytornis textilis",""
"Dusky Grasswren","Amytornis purnelli",""
"Kalkadoon Grasswren","Amytornis ballarae",""
"Eyrean Grasswren","Amytornis goyderi",""
"Black Grasswren","Amytornis housei",""
"Eastern Bristlebird","Dasyornis brachypterus",""
"Western Bristlebird","Dasyornis longirostris",""
"Rufous Bristlebird","Dasyornis broadbenti",""
"Pilotbird","Pycnoptilus floccosus",""
"Rockwarbler","Origma solitaria",""
"Fernwren","Oreoscopus gutturalis",""
"Yellow-throated Scrubwren","Sericornis citreogularis",""
"White-browed Scrubwren","Sericornis frontalis",""
"Tasmanian Scrubwren","Sericornis humilis",""
"Atherton Scrubwren","Sericornis keri",""
"Large-billed Scrubwren","Sericornis magnirostra",""
"Tropical Scrubwren","Sericornis beccarii",""
"Scrubtit","Acanthornis magna",""
"Chestnut-rumped Heathwren","Hylacola pyrrhopygia",""
"Shy Heathwren","Hylacola cauta",""
"Striated Fieldwren","Calamanthus fuliginosus",""
"Rufous Fieldwren","Calamanthus campestris",""
"Redthroat","Pyrrholaemus brunneus",""
"Speckled Warbler","Chthonicola sagittatus",""
"Weebill","Smicrornis brevirostris",""
"Brown Gerygone","Gerygone mouki",""
"Norfolk Island Gerygone","Gerygone modesta","Norfolk Island"
"Lord Howe Gerygone","Gerygone insularis","extinct, Lord Howe Island"
"Mangrove Gerygone","Gerygone levigaster",""
"Western Gerygone","Gerygone fusca",""
"Dusky Gerygone","Gerygone tenebrosa",""
"Large-billed Gerygone","Gerygone magnirostris",""
"Green-backed Gerygone","Gerygone chloronota",""
"Fairy Gerygone","Gerygone palpebrosa",""
"White-throated Gerygone","Gerygone albogularis",""
"Slaty-backed Thornbill","Acanthiza robustirostris",""
"Striated Thornbill","Acanthiza lineata",""
"Yellow Thornbill","Acanthiza nana",""
"Yellow-rumped Thornbill","Acanthiza chrysorrhoa",""
"Chestnut-rumped Thornbill","Acanthiza uropygialis",""
"Buff-rumped Thornbill","Acanthiza reguloides",""
"Western Thornbill","Acanthiza inornata",""
"Slender-billed Thornbill","Acanthiza iredalei",""
"Tasmanian Thornbill","Acanthiza ewingii",""
"Inland Thornbill","Acanthiza apicalis",""
"Brown Thornbill","Acanthiza pusilla",""
"Mountain Thornbill","Acanthiza katherina",""
"Southern Whiteface","Aphelocephala leucopsis",""
"Chestnut-breasted Whiteface","Aphelocephala pectoralis",""
"Banded Whiteface","Aphelocephala nigricincta",""
"Spotted Pardalote","Pardalotus punctatus",""
"Forty-spotted Pardalote","Pardalotus quadragintus",""
"Red-browed Pardalote","Pardalotus rubricatus",""
"Striated Pardalote","Pardalotus striatus",""
"Eastern Spinebill","Acanthorhynchus tenuirostris",""
"Western Spinebill","Acanthorhynchus superciliosus",""
"Pied Honeyeater","Certhionyx variegatus",""
"Lewin's Honeyeater","Meliphaga lewinii",""
"Yellow-spotted Honeyeater","Meliphaga notata",""
"Graceful Honeyeater","Meliphaga gracilis",""
"White-lined Honeyeater","Meliphaga albilineata",""
"Kimberley Honeyeater","Meliphaga fordiana",""
"Bridled Honeyeater","Lichenostomus frenatus",""
"Eungella Honeyeater","Lichenostomus hindwoodi",""
"Yellow-faced Honeyeater","Lichenostomus chrysops",""
"Singing Honeyeater","Lichenostomus virescens",""
"Varied Honeyeater","Lichenostomus versicolor",""
"Mangrove Honeyeater","Lichenostomus fasciogularis",""
"White-gaped Honeyeater","Lichenostomus unicolor",""
"Yellow Honeyeater","Lichenostomus flavus",""
"White-eared Honeyeater","Lichenostomus leucotis",""
"Yellow-throated Honeyeater","Lichenostomus flavicollis",""
"Yellow-tufted Honeyeater","Lichenostomus melanops",""
"Purple-gaped Honeyeater","Lichenostomus cratitius",""
"Grey-headed Honeyeater","Lichenostomus keartlandi",""
"Yellow-plumed Honeyeater","Lichenostomus ornatus",""
"Grey-fronted Honeyeater","Lichenostomus plumulus",""
"Fuscous Honeyeater","Lichenostomus fuscus",""
"Yellow-tinted Honeyeater","Lichenostomus flavescens",""
"White-plumed Honeyeater","Lichenostomus penicillatus",""
"White-fronted Honeyeater","Purnella albifrons",""
"Bell Miner","Manorina melanophrys",""
"Noisy Miner","Manorina melanocephala",""
"Black-eared Miner","Manorina melanotis",""
"Yellow-throated Miner","Manorina flavigula",""
"Spiny-cheeked Honeyeater","Acanthagenys rufogularis",""
"Western Wattlebird","Anthochaera lunulata",""
"Little Wattlebird","Anthochaera chrysoptera",""
"Regent Honeyeater","Anthochaera phrygia",""
"Red Wattlebird","Anthochaera carunculata",""
"Yellow Wattlebird","Anthochaera paradoxa",""
"Brown-backed Honeyeater","Ramsayornis modestus",""
"Bar-breasted Honeyeater","Ramsayornis fasciatus",""
"Rufous-banded Honeyeater","Conopophila albogularis",""
"Rufous-throated Honeyeater","Conopophila rufogularis",""
"Grey Honeyeater","Conopophila whitei",""
"Black Honeyeater","Sugomel niger",""
"Dusky Honeyeater","Myzomela obscura",""
"Red-headed Honeyeater","Myzomela erythrocephala",""
"Scarlet Honeyeater","Myzomela sanguinolenta",""
"Green-backed Honeyeater","Glycichaera fallax",""
"Tawny-crowned Honeyeater","Glyciphila melanops",""
"Banded Honeyeater","Cissomela pectoralis",""
"Brown Honeyeater","Lichmera indistincta",""
"Crescent Honeyeater","Phylidonyris pyrrhoptera",""
"New Holland Honeyeater","Phylidonyris novaehollandiae",""
"White-cheeked Honeyeater","Phylidonyris nigra",""
"White-streaked Honeyeater","Trichodere cockerelli",""
"Black-chinned Honeyeater","Melithreptus gularis",""
"Strong-billed Honeyeater","Melithreptus validirostris",""
"Brown-headed Honeyeater","Melithreptus brevirostris",""
"White-throated Honeyeater","Melithreptus albogularis",""
"White-naped Honeyeater","Melithreptus lunatus",""
"Black-headed Honeyeater","Melithreptus affinis",""
"Blue-faced Honeyeater","Entomyzon cyanotis",""
"Helmeted Friarbird","Philemon buceroides",""
"Silver-crowned Friarbird","Philemon argenticeps",""
"Noisy Friarbird","Philemon corniculatus",""
"Little Friarbird","Philemon citreogularis",""
"Macleay's Honeyeater","Xanthotis macleayana",""
"Tawny-breasted Honeyeater","Xanthotis flaviventer",""
"Striped Honeyeater","Plectorhyncha lanceolata",""
"Painted Honeyeater","Grantiella picta",""
"Grey-crowned Babbler","Pomatostomus temporalis",""
"Hall's Babbler","Pomatostomus halli",""
"White-browed Babbler","Pomatostomus superciliosus",""
"Chestnut-crowned Babbler","Pomatostomus ruficeps",""
"Australian Logrunner","Orthonyx temminckii",""
"Chowchilla","Orthonyx spaldingii",""
"Spotted Quail-thrush","Cinclosoma punctatum",""
"Chestnut Quail-thrush","Cinclosoma castanotum",""
"Cinnamon Quail-thrush","Cinclosoma cinnamomeum",""
"Chestnut-breasted Quail-thrush","Cinclosoma castaneothorax",""
"Eastern Whipbird","Psophodes olivaceus",""
"Western Whipbird","Psophodes nigrogularis",""
"Chirruping Wedgebill","Psophodes cristatus",""
"Chiming Wedgebill","Psophodes occidentalis",""
"Varied Sittella","Daphoenositta chrysoptera",""
"Ground Cuckoo-shrike","Coracina maxima",""
"Black-faced Cuckoo-shrike","Coracina novaehollandiae",""
"White-bellied Cuckoo-shrike","Coracina papuensis",""
"Barred Cuckoo-shrike","Coracina lineata",""
"Cicadabird","Coracina tenuirostris",""
"White-winged Triller","Lalage sueurii",""
"Varied Triller","Lalage leucomela",""
"Long-tailed Triller","Lalage leucopyga","extinct, Norfolk Island"
"Crested Shrike-tit","Falcunculus frontatus",""
"Olive Whistler","Pachycephala olivacea",""
"Red-lored Whistler","Pachycephala rufogularis",""
"Gilbert's Whistler","Pachycephala inornata",""
"Golden Whistler","Pachycephala pectoralis",""
"Mangrove Golden Whistler","Pachycephala melanura",""
"Grey Whistler","Pachycephala simplex",""
"Rufous Whistler","Pachycephala rufiventris",""
"White-breasted Whistler","Pachycephala lanioides",""
"Little Shrike-thrush","Colluricincla megarhyncha",""
"Bower's Shrike-thrush","Colluricincla boweri",""
"Sandstone Shrike-thrush","Colluricincla woodwardi",""
"Grey Shrike-thrush","Colluricincla harmonica",""
"Crested Bellbird","Oreoica gutturalis",""
"Australasian Figbird","Sphecotheres vieilloti",""
"Yellow Oriole","Oriolus flavocinctus",""
"Olive-backed Oriole","Oriolus sagittatus",""
"White-breasted Woodswallow","Artamus leucorynchus",""
"Masked Woodswallow","Artamus personatus",""
"White-browed Woodswallow","Artamus superciliosus",""
"Black-faced Woodswallow","Artamus cinereus",""
"Dusky Woodswallow","Artamus cyanopterus",""
"Little Woodswallow","Artamus minor",""
"Black Butcherbird","Cracticus quoyi",""
"Grey Butcherbird","Cracticus torquatus",""
"Black-backed Butcherbird","Cracticus mentalis",""
"Pied Butcherbird","Cracticus nigrogularis",""
"Australian Magpie","Cracticus tibicen",""
"Pied Currawong","Strepera graculina",""
"Black Currawong","Strepera fuliginosa",""
"Grey Currawong","Strepera versicolor",""
"Spangled Drongo","Dicrurus bracteatus",""
"Rufous Fantail","Rhipidura rufifrons",""
"Arafura Fantail","Rhipidura dryas",""
"New Zealand Fantail","Rhipidura fuliginosa","extinct, Lord Howe Island"
"Grey Fantail","Rhipidura albiscapa",""
"Mangrove Grey Fantail","Rhipidura phasiana",""
"Northern Fantail","Rhipidura rufiventris",""
"Willie Wagtail","Rhipidura leucophrys",""
"Brown Shrike","Lanius cristatus","vagrant, Christmas Island"
"Tiger Shrike","Lanius tigrinus","vagrant"
"Black-billed Magpie","Pica pica","vagrant"
"Australian Raven","Corvus coronoides",""
"Forest Raven","Corvus tasmanicus",""
"Little Raven","Corvus mellori",""
"Little Crow","Corvus bennetti",""
"Torresian Crow","Corvus orru",""
"House Crow","Corvus splendens","vagrant"
"Broad-billed Flycatcher","Myiagra ruficollis",""
"Leaden Flycatcher","Myiagra rubecula",""
"Satin Flycatcher","Myiagra cyanoleuca",""
"Shining Flycatcher","Myiagra alecto",""
"Restless Flycatcher","Myiagra inquieta",""
"White-eared Monarch","Carterornis leucotis",""
"Black-faced Monarch","Monarcha melanopsis",""
"Black-winged Monarch","Monarcha frater",""
"Island Monarch","Monarcha cinerascens","vagrant, Ashmore Reef"
"Spectacled Monarch","Monarcha trivirgatus",""
"Magpie-Lark","Grallina cyanoleuca",""
"Frilled Monarch","Arses telescophthalmus",""
"Pied Monarch","Arses kaupi",""
"Yellow-breasted Boatbill","Machaerirhynchus flaviventer",""
"White-winged Chough","Corcorax melanorhamphos",""
"Apostlebird","Struthidea cinerea",""
"Trumpet Manucode","Phonygammus keraudrenii",""
"Paradise Riflebird","Ptiloris paradiseus",""
"Victoria's Riflebird","Ptiloris victoriae",""
"Magnificent Riflebird","Ptiloris magnificus",""
"Jacky Winter","Microeca fascinans",""
"Lemon-bellied Flycatcher","Microeca flavigaster",""
"Yellow-legged Flycatcher","Microeca griseoceps",""
"Pacific Robin","Petroica multicolor",""
"Scarlet Robin","Petroica boodang",""
"Red-capped Robin","Petroica goodenovii",""
"Flame Robin","Petroica phoenicea",""
"Rose Robin","Petroica rosea",""
"Pink Robin","Petroica rodinogaster",""
"Hooded Robin","Melanodryas cucullata",""
"Dusky Robin","Melanodryas vittata",""
"Pale-yellow Robin","Tregellasia capito",""
"White-faced Robin","Tregellasia leucops",""
"Eastern Yellow Robin","Eopsaltria australis",""
"Western Yellow Robin","Eopsaltria griseogularis",""
"White-breasted Robin","Eopsaltria georgiana",""
"Mangrove Robin","Peneonanthe pulverulenta",""
"Grey-headed Robin","Heteromyias cinereifrons",""
"White-browed Robin","Poecilodryas superciliosa",""
"Buff-sided Robin","Poecilodryas cerviniventris",""
"Northern Scrub-robin","Drymodes superciliaris",""
"Southern Scrub-robin","Drymodes brunneopygia",""
"Horsfield's Bushlark","Mirafra javanica",""
"Eurasian Skylark","Alauda arvensis","introduced"
"Zitting Cisticola","Cisticola juncidis",""
"Golden-headed Cisticola","Cisticola exilis",""
"Australian Reed-Warbler","Acrocephalus australis",""
"Oriental Reed-Warbler","Acrocephalus orientalis","vagrant"
"Tawny Grassbird","Megalurus timoriensis",""
"Little Grassbird","Megalurus gramineus",""
"Rufous Songlark","Cincloramphus mathewsi",""
"Brown Songlark","Cincloramphus cruralis",""
"Spinifexbird","Eremiornis carteri",""
"Christmas Island White-eye","Zosterops natalis","Christmas Island"
"Pale White-eye","Zosterops citrinella",""
"Yellow White-eye","Zosterops luteus",""
"Silvereye","Zosterops lateralis",""
"Robust White-eye","Zosterops strenuus","Lord Howe Island, extinct"
"Slender-billed White-eye","Zosterops tenuirostris","Norfolk Island"
"White-chested White-eye","Zosterops albogularis","Norfolk Island, possibly extinct"
"Middendorff's Grasshopper-warbler","Locustella ochotensis","vagrant - Ashmore Reef"
"Pallas's Grasshopper-warbler","Locustella certhiola","vagrant - Christmas Island"
"Arctic Warbler","Phylloscopus borealis","vagrant"
"Dusky Warbler","Phylloscopus fuscatus","vagrant"
"White-backed Swallow","Cheramoeca leucosternus",""
"Barn Swallow","Hirundo rustica",""
"Welcome Swallow","Hirundo neoxena",""
"Fairy Martin","Petrochelidon ariel",""
"Tree Martin","Petrochelidon nigricans",""
"Red-rumped Swallow","Cecropis daurica","vagrant"
"Asian House Martin","Delichon dasypus","vagrant, Christmas Island"
"Red-whiskered Bulbul","Pycnonotus jocosus","introduced"
"Blue Rock Thrush","Monticola solitarius","vagrant"
"Isabelline Wheatear","Oenanthe isabellina","vagrant"
"Narcissus Flycatcher","Ficedula narcissina","vagrant"
"Blue-and-white Flycatcher","Cyanoptila cyanomelana","vagrant"
"Dark-sided Flycatcher","Muscicapa sibirica","vagrant"
"Asian Brown Flycatcher","Muscicapa dauurica","vagrant"
"Bassian Thrush","Zoothera lunulata",""
"Russet-tailed Thrush","Zoothera heinei",""
"Blackbird","Turdus merula","introduced"
"Island Thrush","Turdus poliocephalus","Christmas Island"
"Song Thrush","Turdus philomelos","introduced"
"Singing Starling","Aplornis cantoroides","Torres Strait"
"Tasman Starling","Aplornis fusca","extinct, Lord Howe Island, Norfolk Island"
"Metallic Starling","Aplornis metallica",""
"Common Starling","Sturnus vulgaris","introduced"
"Purple-backed Starling","Sturnus sturninus","vagrant, Christmas Island"
"Rosy Starling","Sturnus roseus","vagrant"
"Common Myna","Sturnus tristis","introduced"
"Red-capped Flowerpecker","Dicaeum geelvinkianum","Torres Strait"
"Mistletoebird","Dicaeum hirundinaceum",""
"Olive-backed Sunbird","Nectarinia jugularis",""
"Zebra Finch","Taeniopygia guttata",""
"Double-barred Finch","Taeniopygia bichenovii",""
"Long-tailed Finch","Poephila acuticauda",""
"Black-throated Finch","Poephila cincta",""
"Masked Finch","Poephila personata",""
"Crimson Finch","Neochmia phaeton",""
"Star Finch","Neochmia ruficauda",""
"Plum-headed Finch","Neochmia modesta",""
"Red-browed Finch","Neochmia temporalis",""
"Diamond Firetail","Stagonopleura guttata",""
"Beautiful Firetail","Stagonopleura bella",""
"Red-eared Firetail","Stagonopleura oculata",""
"Painted Finch","Emblema pictum",""
"Blue-faced Parrot-Finch","Erythrura trichroa",""
"Gouldian Finch","Erythrura gouldiae",""
"Nutmeg Mannikin","Lonchura punctulata","introduced"
"Pale-headed Munia","Lonchura pallida","vagrant, Ashmore Reef"
"Yellow-rumped Mannikin","Lonchura flaviprymna",""
"Chestnut-breasted Mannikin","Lonchura castaneothorax",""
"Java Sparrow","Lonchura oryzivora","introduced, Christmas Island"
"Pictorella Mannikin","Heteromunia pectoralis",""
"House Sparrow","Passer domesticus","introduced"
"Eurasian Tree Sparrow","Passer montanus","introduced"
"Australasian Pipit","Anthus novaeseelandiae",""
"Red-throated Pipit","Anthus cervinus","vagrant"
"Pechora Pipit","Anthus gustavi","vagrant, Ashmore Reef"
"Eastern Yellow Wagtail","Motacilla tschutschensis",""
"Green-headed Yellow Wagtail","Motacilla taivana",""
"Citrine Wagtail","Motacilla citreola","vagrant"
"Grey Wagtail","Motacilla cinerea","vagrant"
"White Wagtail","Motacilla alba","vagrant"
"Common Chaffinch","Fringilla coelebs","introduced vagrant, Lord Howe Island, Norfolk Island"
"European Goldfinch","Carduelis carduelis","introduced"
"Common Redpoll","Acanthis flammea","introduced vagrant, Lord Howe Island, Macquarie Island"
"European Greenfinch","Chloris chloris","introduced"
"Yellowhammer","Emberiza citrinella","vagrant, Lord Howe Island"
